Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2829,20010101,20171231,621,48.0772,10.9144,Landsberg (Flugplatz),Bayern
2830,19260101,19671231,602,48.0349,10.8709,Landsberg/Lech,Bayern
2831,18810101,20071231,393,48.5357,12.1132,Landshut,Bayern
2843,20110101,20141231,125,50.0075,8.6547,Langen (BZ),Hessen
2856,19940101,20191231,91,51.9173,13.0878,Langenlipsdorf,Brandenburg
2857,18810101,19571231,175,51.1173,10.6568,"Langensalza, Bad",Thüringen
2861,19300101,19851231,5,53.7445,7.4775,Langeoog,Niedersachsen
2872,19460101,19501231,15,52.8457,7.3489,Lathen,Niedersachsen
2878,19480101,20191231,118,51.391,11.8788,"Lauchstädt, Bad",Sachsen-Anhalt
2879,19480101,19851231,199,49.5781,9.7142,Lauda-Königshofen-Gerlachsheim,Baden-Württemberg
2886,20020101,20181231,539,48.2176,9.9097,Laupheim,Baden-Württemberg
2889,19730101,19901231,300,51.6323,10.4737,"Lauterberg, Bad (A)",Niedersachsen
2905,20010101,20181231,550,48.1849,10.8507,Lechfeld,Bayern
2906,19510101,19741231,5,54.775,8.9808,Leck (A),Schleswig-Holstein
2907,19750101,20191231,7,54.7903,8.9514,Leck,Schleswig-Holstein
2912,19510101,19731231,9,54.7419,9.8791,Lehbek,Schleswig-Holstein
2915,19380101,19611231,640,50.4833,11.45,Lehesten/Thüringer Wald,Thüringen
2920,19790101,19951231,365,48.7654,12.5121,Leiblfing,Bayern
2923,19540101,19691231,663,47.9116,10.6124,Leinau,Bayern
2925,19570101,20191231,356,51.3933,10.3123,Leinefelde,Thüringen
2928,18510101,20191231,138,51.3151,12.4462,Leipzig-Holzhausen,Sachsen
2931,19470101,19711231,128,51.392,12.3962,Leipzig-Mockau,Sachsen
2932,19340101,20191231,131,51.4348,12.2396,Leipzig/Halle,Sachsen
2947,19630101,20191231,286,51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen
2949,18510101,20011231,758,48.5396,9.5275,Lenningen-Schopfloch,Baden-Württemberg
2950,19630101,20061231,14,54.219,10.8844,Lensahn,Schleswig-Holstein
2951,19950101,20191231,20,53.1007,11.4864,Lenzen/Elbe,Brandenburg
2953,19460101,20191231,852,47.8597,8.2308,Lenzkirch-Ruhbühl,Baden-Württemberg
2961,20050101,20191231,31,54.4996,10.2737,Leuchtturm Kiel,Schleswig-Holstein
2963,19290101,19781231,92,51.3167,12.0333,Leunawerke,Sachsen-Anhalt
2968,19030101,20191231,43,50.9894,6.9777,Köln-Stammheim,Nordrhein-Westfalen
2985,19950101,20191231,321,50.9383,14.2093,Lichtenhain-Mittelndorf,Sachsen
2996,19380101,19601231,352,48.7726,8.7287,"Liebenzell, Bad (LUBW)",Baden-Württemberg
3001,19500101,19891231,284,48.0674,7.677,Liliental,Baden-Württemberg
3004,19480101,19981231,185,50.4116,8.0605,Limburg/Lahn-Offheim,Hessen
3007,19220101,19551231,96,49.4111,8.398,Limburgerhof,Rheinland-Pfalz
3015,19070101,20191231,98,52.2085,14.118,Lindenberg,Brandenburg
3016,19710101,19871231,760,47.598,9.8878,Lindenberg/Allgäu,Bayern
3017,19850101,20091231,341,49.68,8.7823,Lindenfels,Hessen
3018,19230101,20051231,445,49.7117,8.7804,Lindenfels-Winterkasten,Hessen
3023,18550101,20191231,22,52.5181,7.3081,Lingen,Niedersachsen
3028,19510101,20191231,157,51.7855,8.8388,"Lippspringe, Bad",Nordrhein-Westfalen
3031,19810101,20191231,92,51.6336,8.3945,Lippstadt-Bökenförde,Nordrhein-Westfalen
3032,19370101,20191231,25,55.011,8.4125,List auf Sylt,Schleswig-Holstein
3034,19400101,20181231,500,50.4505,11.635,"Lobenstein, Bad",Thüringen
3042,19940101,20191231,230,50.5617,8.2386,Löhnberg-Obershausen,Hessen
3044,18810101,20171231,22,52.7198,7.7472,Löningen,Niedersachsen
3045,19940101,20061231,27,52.7432,7.8763,Löningen-Hagel,Niedersachsen
3056,19040101,20041231,161,50.0103,9.61,Lohr/Main-Steinbach,Bayern
3062,19110101,19871231,100,50.0352,7.8197,Lorch/Rhein,Hessen
3076,18950101,19561231,95,49.4606,8.4246,Ludwigshafen-Mundenheim,Rheinland-Pfalz
3082,19350101,19741231,56,51.9333,13.8833,Lübben,Brandenburg
3083,19920101,20191231,57,51.9267,13.8797,Lübben-Blumenfelde,Brandenburg
3085,19500101,19841231,15,53.8773,10.6915,Lübeck,Schleswig-Holstein
3086,19400101,20191231,15,53.8025,10.6989,Lübeck-Blankensee,Schleswig-Holstein
3088,18810101,19721231,5,53.8953,10.704,Lübeck-Werft,Schleswig-Holstein
3093,19550101,20181231,16,52.9724,11.1374,Lüchow,Niedersachsen
3096,19220101,19951231,444,51.2131,7.6359,Lüdenscheid (Zeppelin-Gymnasium),Nordrhein-Westfalen
3098,19940101,20191231,387,51.2452,7.6425,Lüdenscheid,Nordrhein-Westfalen
3101,19500101,19941231,58,51.7694,7.4128,Lüdinghausen,Nordrhein-Westfalen
3103,18550101,19971231,11,53.2657,10.424,Lüneburg,Niedersachsen
3126,18340101,20191231,76,52.1029,11.5827,Magdeburg,Sachsen-Anhalt
3135,19270101,19821231,473,49.0643,9.582,Mainhardt-Ziegelbronn,Baden-Württemberg
3137,18810101,20191231,195,49.9656,8.2139,Mainz-Lerchenberg (ZDF),Rheinland-Pfalz
3139,19840101,20041231,509,48.2166,11.2965,Maisach-Gernlinden,Bayern
3147,19520101,20191231,418,48.7725,12.2179,Mallersdorf-Pfaffenberg/Niederbayern,Bayern
3155,19380101,20191231,413,50.1015,6.8009,Manderscheid-Sonnenhof,Rheinland-Pfalz
3158,19850101,20191231,12,52.5468,14.5452,Manschnow,Brandenburg
3160,19520101,19801231,240,51.6084,11.4139,Vatterode-Gräfenstuhl,Sachsen-Anhalt
3164,18810101,20181231,187,50.8492,8.7746,"Cölbe, Kr. Marburg-Biedenkopf",Hessen
3166,19560101,20191231,639,50.651,13.1469,Marienberg,Sachsen
3167,19630101,20191231,547,50.6621,7.9603,"Marienberg, Bad",Rheinland-Pfalz
3170,19070101,19561231,5,54.4937,11.2405,Marienleuchte,Schleswig-Holstein
3196,18810101,20191231,81,53.3223,11.9319,Marnitz,Mecklenburg-Vorpommern
3204,19840101,20191231,429,50.7335,10.8815,Martinroda,Thüringen
3211,19360101,19561231,1011,48.9359,13.5747,Mauth-Finsterau,Bayern
3212,19600101,20021231,230,50.3249,7.23,Mayen,Rheinland-Pfalz
3222,19610101,19781231,60,52.3411,9.1403,Meerbeck,Niedersachsen
3223,18810101,19761231,460,47.6985,9.2753,Meersburg,Baden-Württemberg
3226,20070101,20191231,107,51.7259,11.5109,Aschersleben-Mehringen,Sachsen-Anhalt
3227,19330101,19791231,216,51.8936,8.9842,"Meinberg, Bad",Nordrhein-Westfalen
